Employee_ID,Month,Attendance_Percent
EMP10104,2022-01,96
EMP10104,2022-02,82
EMP10104,2022-03,91
EMP10104,2022-04,99
EMP10104,2022-05,83
EMP10104,2022-06,79
EMP10104,2022-07,79
EMP10104,2022-08,96
EMP10104,2022-09,88
EMP10104,2022-10,96
EMP10104,2022-11,93
EMP10104,2022-12,78
EMP10104,2023-01,80
EMP10104,2023-02,70
EMP10104,2023-03,96
EMP10104,2023-04,77
EMP10104,2023-05,91
EMP10104,2023-06,86
EMP10104,2023-07,78
EMP10104,2023-08,97
EMP10104,2023-09,81
EMP10104,2023-10,80
EMP10104,2023-11,96
EMP10104,2023-12,70
EMP10104,2024-01,100
EMP12782,2022-01,93
EMP12782,2022-02,70
EMP12782,2022-03,81
EMP12782,2022-04,77
EMP12782,2022-05,82
EMP12782,2022-06,71
EMP12782,2022-07,84
EMP12782,2022-08,87
EMP12782,2022-09,84
EMP12782,2022-10,98
EMP12782,2022-11,98
EMP12782,2022-12,79
EMP12782,2023-01,77
EMP12782,2023-02,73
EMP12782,2023-03,76
EMP12782,2023-04,84
EMP12782,2023-05,95
EMP12782,2023-06,82
EMP12782,2023-07,79
EMP12782,2023-08,95
EMP12782,2023-09,74
EMP12782,2023-10,81
EMP12782,2023-11,71
EMP12782,2023-12,96
EMP12782,2024-01,96
EMP12284,2022-01,87
EMP12284,2022-02,82
EMP12284,2022-03,93
EMP12284,2022-04,88
EMP12284,2022-05,100
EMP12284,2022-06,79
EMP12284,2022-07,93
EMP12284,2022-08,82
EMP12284,2022-09,88
EMP12284,2022-10,81
EMP12284,2022-11,74
EMP12284,2022-12,72
EMP12284,2023-01,86
EMP12284,2023-02,84
EMP12284,2023-03,99
EMP12284,2023-04,78
EMP12284,2023-05,90
EMP12284,2023-06,72
EMP12284,2023-07,73
EMP12284,2023-08,98
EMP12284,2023-09,98
EMP12284,2023-10,100
EMP12284,2023-11,97
EMP12284,2023-12,91
EMP12284,2024-01,77
EMP12422,2022-01,87
EMP12422,2022-02,71
EMP12422,2022-03,81
EMP12422,2022-04,97
EMP12422,2022-05,72
EMP12422,2022-06,81
EMP12422,2022-07,91
EMP12422,2022-08,94
EMP12422,2022-09,78
EMP12422,2022-10,95
EMP12422,2022-11,94
EMP12422,2022-12,78
EMP12422,2023-01,75
EMP12422,2023-02,96
EMP12422,2023-03,79
EMP12422,2023-04,72
EMP12422,2023-05,85
EMP12422,2023-06,90
EMP12422,2023-07,91
EMP12422,2023-08,78
EMP12422,2023-09,78
EMP12422,2023-10,72
EMP12422,2023-11,98
EMP12422,2023-12,92
EMP12422,2024-01,99
EMP10472,2022-01,78
EMP10472,2022-02,81
EMP10472,2022-03,72
EMP10472,2022-04,95
EMP10472,2022-05,74
EMP10472,2022-06,99
EMP10472,2022-07,70
EMP10472,2022-08,78
EMP10472,2022-09,95
EMP10472,2022-10,86
EMP10472,2022-11,73
EMP10472,2022-12,83
EMP10472,2023-01,89
EMP10472,2023-02,93
EMP10472,2023-03,74
EMP10472,2023-04,81
EMP10472,2023-05,82
EMP10472,2023-06,82
EMP10472,2023-07,88
EMP10472,2023-08,86
EMP10472,2023-09,86
